BookID,Title,Authors,Average_rating,Language,Num_pages,Ratings_count,text_reviews_count,Publication_date,Publisher,Availability
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,Available
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,29221,09-01-2004,Scholastic Inc.,Unavailable
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,6333,244,11-01-2003,Scholastic,Unavailable
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,36325,05-01-2004,Scholastic Inc.,Available
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,41428,164,9/13/2004,Scholastic,Available
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,1,4/26/2005,Nimble Books,Available
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,808,09-12-2005,Scholastic,Unavailable
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,254,11-01-2005,Gramercy Books,Available
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4080,4/30/2002,Del Rey Books,Available
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,4930,460,08-03-2004,Crown,Available
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,253,3/23/2005,Random House Audio,Available
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,195,1/17/1996,Wings Books,Available
13,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9396,9/14/2004,Broadway Books,Unavailable
14,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,499,12-03-2002,Broadway Books,Available
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,131,9/14/2004,Broadway Books,Unavailable
16,In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,4245,5/15/2001,Broadway Books,Available
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,2211,6/28/2000,Broadway Books,Available
18,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,Available
19,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,Available
20,Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,Available
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,Available
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,1550,9/25/2012,Ballantine Books,Available
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,Available
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,13670,09-05-2003,Houghton Mifflin Harcourt,Available
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216,1618,140,10-01-2002,Houghton Mifflin Harcourt,Available
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,46,11-05-2003,Houghton Mifflin Harcourt,Available
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,Available
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,Available
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,12017,04-01-2000,Atheneum Books for Young Readers: Richard Jackson Books,Available
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,eng,48,36,2,8/28/1994,Teacher Created Resources,Available
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,1/23/2001,Delacorte Press,Available
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,0,06-10-2003,Cherry Lane Music Company,Available
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,16,11-01-2005,The New Press,Available
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,11-01-2005,Changeling Press,Available
35,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,111,8/17/2006,Viking Juvenile,Available
36,The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,302,4/14/2003,Firebird,Available
37,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,06-08-2004,iUniverse,Available
